ID	p	network	CC	T	SP	l2	lmax_l2	Rg
Network_p=0.21544346900318823	0.21544346900318823	ws	0.35439743124952144	0.3481986319974319	3.1726926926926926	2.5038005201316795	9.772649199533284	72880.49559542329
Network_p=0.1	0.1	ws	0.5218770695678594	0.5161923698272648	3.5574854854854854	1.1628353372028872	19.68734567627767	80921.57315306424
Network_p=0.021544346900318832	0.021544346900318832	ws	0.6558296344178675	0.6540234667554298	4.7917997997998	0.23264482725140634	92.36731006618842	112185.48741102038
Network_p=0.0	0.0	ws	0.7000000000000064	0.7	31.72072072072072	0.008052457970942239	2575.12529357486	458113.19489880407
