ID	network	p	th	seed	0.1	0.2	0.3	0.4	0.5	0.6	0.7	0.8	0.9
Network_p=0.8	ws	0.8	0.01	532	0.107	0.28	0.28	0.28	0.28	0.33066666666666666	0.33066666666666666	0.33066666666666666	0.33066666666666666
Network_p=0.8	ws	0.8	0.042666666666666665	532	0.107	0.28	0.28	0.28	0.28	0.33066666666666666	0.33066666666666666	0.33066666666666666	0.33066666666666666
Network_p=0.8	ws	0.8	0.07533333333333332	532	0.107	0.28	0.28	0.28	0.28	0.33066666666666666	0.33066666666666666	0.33066666666666666	0.33066666666666666
Network_p=0.8	ws	0.8	0.10799999999999998	532	0.17700000000000002	0.17700000000000002	0.17700000000000002	0.2996666666666667	0.2996666666666667	0.2996666666666667	0.2996666666666667	0.2996666666666667	0.25
Network_p=0.8	ws	0.8	0.14066666666666666	532	0.051500000000000004	0.08766666666666667	0.1725	0.1725	0.1725	0.1725	0.1988	0.1988	0.1988
Network_p=0.8	ws	0.8	0.17333333333333334	532	0.015571428571428571	0.04377777777777778	0.04377777777777778	0.0804	0.0804	0.0804	0.0804	0.0804	0.09072727272727273
Network_p=0.8	ws	0.8	0.206	532									
Network_p=0.8	ws	0.8	0.23866666666666664	532									
Network_p=0.8	ws	0.8	0.2713333333333333	532									
Network_p=0.8	ws	0.8	0.304	532									
Network_p=0.8	ws	0.8	0.33666666666666667	532									
Network_p=0.8	ws	0.8	0.3693333333333333	532									
Network_p=0.8	ws	0.8	0.40199999999999997	532									
Network_p=0.8	ws	0.8	0.43466666666666665	532									
Network_p=0.8	ws	0.8	0.46733333333333327	532									
Network_p=0.8	ws	0.8	0.5	532									
Network_p=0.8	ws	0.8	0.01	39	0.105	0.28250000000000003	0.28250000000000003	0.28250000000000003	0.28250000000000003	0.332	0.332	0.332	0.332
Network_p=0.8	ws	0.8	0.042666666666666665	39	0.105	0.28250000000000003	0.28250000000000003	0.28250000000000003	0.28250000000000003	0.332	0.332	0.332	0.332
Network_p=0.8	ws	0.8	0.07533333333333332	39	0.105	0.28250000000000003	0.28250000000000003	0.28250000000000003	0.28250000000000003	0.332	0.332	0.332	0.332
Network_p=0.8	ws	0.8	0.10799999999999998	39	0.169	0.169	0.169	0.293	0.293	0.293	0.293	0.293	0.25
Network_p=0.8	ws	0.8	0.14066666666666666	39	0.062	0.11133333333333333	0.11133333333333333	0.20299999999999999	0.20299999999999999	0.20299999999999999	0.20299999999999999	0.20299999999999999	0.1996
Network_p=0.8	ws	0.8	0.17333333333333334	39	0.019571428571428573	0.03	0.057	0.057	0.057	0.0934	0.0934	0.0934	0.0934
Network_p=0.8	ws	0.8	0.206	39									
Network_p=0.8	ws	0.8	0.23866666666666664	39									
Network_p=0.8	ws	0.8	0.2713333333333333	39									
Network_p=0.8	ws	0.8	0.304	39									
Network_p=0.8	ws	0.8	0.33666666666666667	39									
Network_p=0.8	ws	0.8	0.3693333333333333	39									
Network_p=0.8	ws	0.8	0.40199999999999997	39									
Network_p=0.8	ws	0.8	0.43466666666666665	39									
Network_p=0.8	ws	0.8	0.46733333333333327	39									
Network_p=0.8	ws	0.8	0.5	39									
